id,text,,,,
"1,36777665065453E+018",Governadores dizem que estados estão no limite e pedem a Bolsonaro agilidade na compra de vacinas: https://t.co/mqf12Qp1eS via @sputnik_brasil,,,,
"1,36777663757669E+018","@thiagos25 O SUS é referência mundial em vacinação, mas pra isso ocorrer tem que ter vacina. E ninguém no governo parece estar preocupado com isso",,,,
"1,36777663528246E+018","@Jacque27moura @AntonioSous Se não fosse o empenho do Doria com sua vacina nossa tragédia seria outra muito maior! \nE pare de passar vergonha com sua ""pesquisa""  fajuta e sem fontes. #ImpeachmentBolsonaroUrgente",,,,
"1,3677766242556E+018",@jairbolsonaro A melhor vacina para o Brasil é um impeachment. https://t.co/GKWWZDjl2m,,,,
"1,36777662225075E+018",@Metropoles Presidente do Mimimi. Cadê a correção do Imposto de renda. Cadê o combustível barato. Cadê as vacinas?,,,,
"1,36777661698691E+018","@BolsonaroSP #VacinaJá _xD83C__xDDE7__xD83C__xDDF7__xD83C__xDDE7__xD83C__xDDF7__xD83C__xDDE7__xD83C__xDDF7_ vá trabalhar pelo Brasil,  precisamos de VACINAS,  VA'CI-NAS Dep.",,,,
"1,36777661567831E+018","@Pitota10 Vai saber? Coisas como essa é que são estudadas na preparação de uma vacina, não no caso do convid a pressa para lucrar foi maior_xD83E__xDD26__xD83C__xDFFC_‍♀️",,,,
"1,36777659242507E+018",O desabafo de Mônica Waldvogel sobre a vacina neoliberal que transformou a nossa economia em jacaré - https://t.co/gYGE3agPFo @a_postagem,,,,
"1,36777658967779E+018","@jairbolsonaro @ItamaratyGovBr @ernestofaraujo COMPRA AS VACINAS BOLSONARO?\nCADÊ AS VACINAS BOLSONARO?\nONDE ESTÁ AS VACINAS BOLSONARO?\nVACINE A POPULAÇÃO BOLSONARO?\nSÃO MAIS DE MIL MORTOS POR DIA SEM VACINAS BOLSONARO.\nVACINA, VACINA, VACINA, VACINA E \nQUEREMOS VACINAS BOLSONARO.\nNINGUÉM AGUENTA ESPERAR AS VACINAS BOLSONARO.",,,,
"1,36777658577283E+018",Não tem vacinas porque negou 70 milhões de doses da Pfizer em julho de 2020.,,,,
"1,36777657716195E+018","@bidaamerica2019 @lettsilv @APS20211 @JoaquinTeixeira Vacina é imunizante não tratamento precoce. Qual o problema em em usar todas as cartas da manga? Se existe a possibilidade, use a.",,,,
"1,36777657287117E+018","E a história se repeti, s. Em pleno século XXI _xD83C__xDDE7__xD83C__xDDF7_ #covid_19 #pandemia https://t.co/vnMehXGsO3",,,,
