text,attributeScores.THREAT.summaryScore.value,attributeScores.PROFANITY.summaryScore.value,attributeScores.IDENTITY_ATTACK.summaryScore.value,attributeScores.TOXICITY.summaryScore.value,attributeScores.SEVERE_TOXICITY.summaryScore.value,attributeScores.INSULT.summaryScore.value
machinemaah estranho pq diversos conhecidos meus que pegaram covid os cara receitaram,0.22395833,0.10279001,0.15141243,0.16267279,0.13884786,0.15334292
bempensativo monark vai lá tirar foto então e tem que ser do hospital nome incluso todo pois a ala de pacientes de  é por norma isolada do resto do hospital e nem todo hospital tem estrutura para receber doentes ou tem restrição quanto à sua especialidade,0.164301,0.021832807000000003,0.13873824,0.08031056,0.02917772,0.07112128
não consigo mensurar em palavras a felicidade que eu tô sentindo por saber que sábado meu vôzinho vai tomar vacina e muito em breve minha vó também amo,0.64984274,0.22129783,0.29516244,0.15681274,0.32804233,0.104543716
meu avô foi oficialmente vacinado contra a  ❤️,0.16374269,0.10279001,0.10557976,0.16513844,0.13884786,0.1556076
jairbolsonaro compra as vacinas bolsonaroncadê as vacinas bolsonarononde está as vacinas bolsonaronvacine a população bolsonaronsão mais de mil mortos por dia sem vacinas bolsonaronvacina vacina vacina vacina e nqueremos vacinas bolsonaronninguém aguenta esperar as vacinas bolsonaro,0.8367346999999999,0.35398229999999997,0.7366411999999999,0.6152542,0.6394558000000001,0.6698113
patrycyamg claudioedantas pois é ivermectina não cura covid assim como dipirona e demais remédios pgripe não  cura gripe  boa parte das doenças não tem um remédio como bala de prata mas sim medicamentos que auxiliam o paciente durante o processo de cura evitando o óbito,0.52348995,0.10279001,0.20297165,0.16477858,0.13884786,0.19144842
claudioedantas quem falou em cura diminui a carga viral se tomado precocementennvai na cura a covid deixa de ser trouxa rapaz,0.52348995,0.83958054,0.6052632,0.85423046,0.6696890999999999,0.91451
vacinação no brasilnbrasil deverá somar mais de  milhões de vacinas até o fim de abriln,0.39546955,0.02272094,0.15686275,0.08244847,0.08911974,0.08534253
bandjornalismo presidente do mimimi cadê a correção do imposto de renda cadê o combustível barato cadê as vacinas,0.2877095,0.4184977,0.795539,0.71887034,0.65957445,0.7392893
do coronavirus quando perguntarem o que é massa de manobra basta utilizar essa informação como exemplo,0.2877095,0.10545738,0.15412988,0.12613763,0.13616005,0.17689122
